"genbank_accession","species","oxygen","reported_oxygen","partition_oxygen"
"GCA_000017625","Methanoregula boonei",0.00168586229379042,0,"train"
"GCA_000327485","Methanoregula formicica",0.000872227710010609,0,"train"
"GCA_000021965","Methanosphaerula palustris",0.00442818738900042,0,"train"
"GCA_000013445","Methanospirillum hungatei",0.00085945172619617,0,"train"
"GCA_019263745","Methanospirillum sp012729995",0.00194015722716756,0,"train"
"GCA_003173335","Methanospirillum stamsii",0.00212875677792079,0,"train"
"GCA_002153915","Methanonatronarchaeum thermophilum",0.00946745679176919,0,"train"
"GCA_000970045","MTP4 sp000970045",0.00311926293110243,0,"train"
"GCA_020685265","Methanimicrococcus blatticola",0.00178322847165679,0,"train"
"GCA_000013725","Methanococcoides burtonii",0.00413582792293021,0,"train"
"GCA_000765475","Methanococcoides methylutens",0.00128373114095637,0,"train"
"GCA_000970325","Methanococcoides methylutens_A",0.00148162400227037,0,"train"
"GCA_900774055","Methanococcoides sp900774055",0.00223038945759957,0,"train"
"GCA_900111645","Methanococcoides vulcani",0.0011644907438626,0,"train"
"GCA_000196655","Methanohalobium evestigatum",0.017025613919756,0,"train"
"GCA_002973515","Methanohalophilus euhalobius",0.000700959823181413,0,"train"
"GCA_001889405","Methanohalophilus halophilus",0.00173374386663838,0,"train"
"GCA_017874375","Methanohalophilus levihalophilus",0.0038976873201606,0,"train"
"GCA_900177455","Methanohalophilus portucalensis",0.00160736343417478,0,"train"
"GCA_017873415","Methanolobus bombayensis",0.00351780860704076,0,"train"
"GCA_024500045","Methanolobus chelungpuianus",0.000643181150373651,0,"train"
"GCA_002243045","Methanolobus psychrotolerans",0.00350565265963176,0,"train"
"GCA_000504205","Methanolobus tindarius",0.00393810722437482,0,"train"
"GCA_013388255","Methanolobus zinderi",0.00299894437328962,0,"train"
"GCA_000328665","Methanomethylovorans hollandica",0.00185305588584617,0,"train"
"GCA_024808815","Methanosalsum natronophilum",0.00715602770837698,0,"train"
"GCA_000217995","Methanosalsum zhilinae",0.00144722444062595,0,"train"
"GCA_000007345","Methanosarcina acetivorans",0.00383421783417304,0,"train"
"GCA_000970025","Methanosarcina barkeri",0.00450433290014285,0,"train"
"GCA_000970065","Methanosarcina barkeri",0.00433050851368078,0,"train"
"GCA_000969985","Methanosarcina barkeri_B",0.00608860759667196,0,"train"
"GCA_000970285","Methanosarcina horonobensis",0.00394166355514558,0,"train"
"GCA_000970265","Methanosarcina lacustris",0.00199323392949557,0,"train"
"GCA_000970185","Methanosarcina mazei",0.00194043478122641,0,"train"
"GCA_019669945","Methanosarcina mazei",0.00133860275410758,0,"train"
"GCA_000970205","Methanosarcina mazei",0.00202113633377043,0,"train"
"GCA_000970245","Methanosarcina mazei",0.00175593177644595,0,"train"
"GCA_000970085","Methanosarcina siciliae",0.00396266522372202,0,"train"
"GCA_000970125","Methanosarcina siciliae",0.00422928606810502,0,"train"
"GCA_000970145","Methanosarcina siciliae",0.00459548816753641,0,"train"
"GCA_000970005","Methanosarcina sp000969965",0.00159783643068701,0,"train"
"GCA_002287235","Methanosarcina spelaei",0.00403569708362417,0,"train"
"GCA_000969925","Methanosarcina thermophila",0.00103233992131879,0,"train"
"GCA_900116525","Methanosarcina thermophila",0.00104631694699742,0,"train"
"GCA_000969885","Methanosarcina thermophila",0.000857735928090353,0,"train"
"GCA_000969905","Methanosarcina vacuolata",0.0040793049349932,0,"train"
"GCA_000969945","Methanosarcina vacuolata",0.00442496244840762,0,"train"
"GCA_000204415","Methanothrix soehngenii",0.00183177419350122,0,"train"
"GCA_000014945","Methanothrix_B thermoacetophila",1.41379249424256e-05,0,"train"
"GCA_001316325","Methanobacterium formicicum",0.00318144007540322,0,"train"
"GCA_000302455","Methanobacterium formicicum_A",0.00711945468538444,0,"train"
"GCA_017873625","Methanobacterium petrolearium",0.00416965120313018,0,"train"
"GCA_002813695","Methanobacterium subterraneum",0.00559482544991163,0,"train"
"GCA_000214725","Methanobacterium_C paludis",0.00228937916706118,0,"train"
"GCA_002287175","Methanobacterium_D bryantii",0.00811145691752757,0,"train"
"GCA_000746075","Methanobacterium_D veterum",0.00800265415625323,0,"train"
"GCA_000745485","Methanobacterium_D veterum",0.00783829560847882,0,"train"
"GCA_023227715","Methanobacterium_E alcaliphilum",0.0122206927165502,0,"train"
"GCA_900114585","Methanobrevibacter olleyae",0.019301723955794,0,"train"
"GCA_000024185","Methanobrevibacter ruminantium",0.0530705408839066,0,"train"
"GCA_900109595","Methanobrevibacter_A gottschalkii",0.00595291951877763,0,"train"
"GCA_003814835","Methanobrevibacter_A gottschalkii",0.0063537298129126,0,"train"
"GCA_900103415","Methanobrevibacter_A millerae",0.0194317635436698,0,"train"
"GCA_001639275","Methanobrevibacter_A oralis",0.0177303416696452,0,"train"
"GCA_000151225","Methanobrevibacter_A smithii",0.0100331865926246,0,"train"
"GCA_000016525","Methanobrevibacter_A smithii",0.0106378761230774,0,"train"
"GCA_000151245","Methanobrevibacter_A smithii",0.00758585628996278,0,"train"
"GCA_003111625","Methanobrevibacter_A thaueri",0.00640826709297204,0,"train"
"GCA_003111605","Methanobrevibacter_A woesei",0.00215493267837918,0,"train"
"GCA_002072215","Methanobrevibacter_C arboriphilus",0.341016325521378,0,"train"
"GCA_019669925","Methanobrevibacter_C arboriphilus_A",0.213457400496105,0,"train"
"GCA_001639285","Methanobrevibacter_C cuticularis",0.196360886134488,0,"train"
"GCA_001639295","Methanobrevibacter_D curvatus",0.611651831361788,0,"train"
"GCA_001639265","Methanobrevibacter_D filiformis",0.794278663540846,0,"train"
"GCA_002287195","Methanosphaera cuniculi",0.00331940933153885,0,"train"
"GCA_000012545","Methanosphaera stadtmanae",0.00223877956650242,0,"train"
"GCA_000166095","Methanothermus fervidus",1.73819115619755e-05,0,"test"
"GCA_000145295","Methanothermobacter marburgensis",2.6324622776408e-05,0,"train"
"GCA_000008645","Methanothermobacter thermautotrophicus",2.6935692592378e-05,0,"train"
"GCA_003385755","Methanothermobacter thermautotrophicus",2.54714385079513e-05,0,"train"
"GCA_023167465","Methanothermobacter_A tenebrarum",5.74698737729751e-05,0,"train"
"GCA_000739065","Methanocaldococcus bathoardescens",9.15134772283555e-06,0,"train"
"GCA_000023985","Methanocaldococcus fervens",7.20937782816566e-06,0,"train"
"GCA_000091665","Methanocaldococcus jannaschii",8.44509894837309e-06,0,"train"
"GCA_000024625","Methanocaldococcus vulcanius",1.25530480840075e-05,0,"train"
"GCA_000092305","Methanocaldococcus_A infernus",2.8422076335799e-06,0,"train"
"GCA_000363885","Methanocaldococcus_A villosus",3.57217744140215e-06,0,"train"
"GCA_000011585","Methanococcus maripaludis",0.000113181811655982,0,"train"
"GCA_002945325","Methanococcus maripaludis",0.000134282679361997,0,"train"
"GCA_014203295","Methanococcus maripaludis",0.000151815984926196,0,"train"
"GCA_017875815","Methanococcus maripaludis",0.000155547772903608,0,"train"
"GCA_000017165","Methanococcus vannielii",0.000254734687922364,0,"train"
"GCA_024807035","Methanococcus voltae",0.0001416516241316,0,"train"
"GCA_017875395","Methanococcus voltae_C",0.000243222274290633,0,"train"
"GCA_004310395","Methanofervidicoccus abyssi",2.12748477168567e-07,0,"train"
"GCA_000376965","Methanothermococcus thermolithotrophicus",2.2077371285234e-05,0,"train"
"GCA_000017185","Methanothermococcus_A aeolicus",6.14920220601833e-05,0,"train"
"GCA_000007185","Methanopyrus kandleri",2.25455064239988e-06,0,"train"
"GCA_000966265","Palaeococcus ferrophilus",0.0243692684320072,0,"train"
"GCA_000725425","Palaeococcus pacificus",0.0251367096816052,0,"train"
"GCA_008245085","Pyrococcus furiosus",0.00244929198268096,0,"train"
"GCA_001577775","Pyrococcus kukulkanii",0.0025626528610726,0,"train"
"GCA_002214365","Thermococcus celer",0.0157141063908258,0,"train"
"GCA_000022365","Thermococcus gammatolerans",0.0158096922865628,0,"train"
"GCA_002214385","Thermococcus gorgonarius",0.0225571304433586,0,"train"
"GCA_000816105","Thermococcus guaymasensis",0.0133137464071698,0,"train"
"GCA_002214485","Thermococcus pacificus",0.0171619974909216,0,"train"
"GCA_001592435","Thermococcus peptonophilus",0.0144464553727476,0,"train"
"GCA_002214565","Thermococcus radiotolerans",0.0144039063021826,0,"train"
"GCA_002214505","Thermococcus siculi",0.023271570601432,0,"train"
"GCA_002214525","Thermococcus sp002214525",0.00674096732599283,0,"train"
"GCA_017873335","Thermococcus stetteri",0.0193212712417048,0,"train"
"GCA_900109425","Thermococcus thioreducens",0.0160100621971148,0,"train"
"GCA_000258515","Thermococcus zilligii",0.0222739214028498,0,"train"
"GCA_024022995","Thermococcus_A aggregans",0.00987782826721262,0,"train"
"GCA_024054535","Thermococcus_A alcaliphilus",0.0115112339673048,0,"train"
"GCA_000022545","Thermococcus_A sibiricus",0.0151993802653786,0,"train"
"GCA_000025665","Aciduliprofundum boonei",0.00540499545519202,0,"train"
"GCA_000308215","Methanomassiliicoccus luminyensis",0.000695983792165955,0,"train"
"GCA_900083515","Cuniculiplasma divulgatum",0.0485668974085902,1,"train"
"GCA_000015225","Thermofilum_B pendens",0.00175847429206921,0,"train"
"GCA_000018305","Caldivirga maquilingensis",0.00184462239977001,0,"train"
"GCA_000148385","Vulcanisaeta distributa",0.000209966427814012,0,"train"
"GCA_014646555","Vulcanisaeta souniana",0.00049432384252035,0,"train"
"GCA_000007225","Pyrobaculum aerophilum",0.000542085469942388,0,"train"
"GCA_000016385","Pyrobaculum arsenaticum",0.000402645144168767,0,"train"
"GCA_000234805","Pyrobaculum ferrireducens",0.000393932559053622,0,"train"
"GCA_000015205","Pyrobaculum islandicum",7.45145178734363e-05,0,"train"
"GCA_000019805","Pyrobaculum neutrophilum",0.000265003066775016,0,"train"
"GCA_000247545","Pyrobaculum oguniense",0.000276726600335175,0,"train"
"GCA_000144915","Acidilobus saccharovorans",0.00382332148085118,0,"test"
"GCA_000591035","Aeropyrum camini",0.0011505147517884,1,"test"
"GCA_000011125","Aeropyrum pernix",0.00100988855934603,1,"test"
"GCA_000317795","Caldisphaera lagunensis",0.0172929923727542,0,"test"
"GCA_000020905","Desulfurococcus amylolyticus",8.96623401583918e-05,0,"test"
"GCA_001006085","Desulfurococcus mucosus",0.000263940328438794,0,"test"
"GCA_000186365","Desulfurococcus mucosus",0.000282728319365155,0,"test"
"GCA_000092465","Staphylothermus hellenicus",0.00025609981593655,0,"test"
"GCA_000015945","Staphylothermus marinus",0.000265077068627217,0,"test"
"GCA_000264495","Thermogladius calderae",0.000440279568535651,0,"test"
"GCA_000092185","Thermosphaera aggregans",0.000713181325276757,0,"test"
"GCA_000258425","Fervidicoccus fontis",0.00267820998960422,0,"test"
"GCA_000017945","Ignicoccus hospitalis",7.50046864441689e-05,0,"train"
"GCA_001481685","Ignicoccus islandicus",5.74209715662466e-05,0,"train"
"GCA_000145985","Ignisphaera aggregans",3.55048081801534e-06,0,"train"
"GCA_000015145","Hyperthermus butylicus",3.77674372668002e-05,0,"test"
"GCA_001412615","Pyrodictium delaneyi",8.998164171381e-05,0,"test"
"GCA_001462395","Pyrodictium occultum",0.000123191821444379,0,"test"
"GCA_000223395","Pyrolobus fumarii",1.32898526685743e-05,0,"test"
"GCA_009428885","Acidianus ambivalens",0.00105535439156523,0,"test"
"GCA_009729545","Acidianus infernus",0.001262519211498,0,"test"
"GCA_009729035","Stygiolobus azoricus",0.00240431239825523,0,"test"
"GCA_014648235","Sulfodiicoccus acidiphilus",0.0111005765095632,1,"test"
"GCA_017377855","Acanthopleuribacter pedis",0.995951114787105,1,"train"
"GCA_000428885","Geothrix fermentans",0.964585216050724,0,"train"
"GCA_016592575","Thermotomaculum hydrothermale",0.061559886237926,0,"train"
"GCA_015277775","Paludibaculum fermentans",0.921660422549781,1,"train"
"GCA_900108185","Bryocella elongata",0.981967347147974,1,"train"
"GCA_014642855","Edaphobacter acidisoli",0.986180137381525,1,"train"
"GCA_014640335","Edaphobacter dinghuensis",0.989884241786683,1,"train"
"GCA_900114625","Granulicella_C pectinivorans",0.965035316214842,1,"train"
"GCA_900188085","Granulicella_C rosea",0.966939613062679,1,"train"
"GCA_004115155","Granulicella_C sibirica",0.973570895164144,1,"train"
"GCA_000688455","Pseudacidobacterium ailaaui",0.959592381537978,1,"train"
"GCA_000687145","Thermoanaerobaculum aquaticum",0.830480689036223,0,"train"
"GCA_001618865","Luteitalea pratensis",0.947667185812752,1,"train"
"GCA_000348785","Ilumatobacter_A coccineus",0.973642859382706,1,"train"
"GCA_000350145","Ilumatobacter_A nonamiensis",0.970484069886958,1,"train"
"GCA_024623335","Actinomyces bowdenii_B",0.90229045560935,1,"train"
"GCA_001553565","Actinomyces radicidentis",0.957615927120755,1,"train"
"GCA_900637975","Actinomyces viscosus",0.912590011473252,1,"train"
"GCA_900475915","Arcanobacterium haemolyticum",0.969488795339195,1,"train"
"GCA_002563695","Georgenia soli",0.98327199707514,1,"train"
"GCA_000159015","Gleimia coleocanis",0.953406134224128,1,"train"
"GCA_000146285","Mobiluncus curtisii",0.859319437016179,0,"train"
"GCA_900453215","Mobiluncus mulieris",0.899811193546527,0,"train"
"GCA_016405145","Pauljensenia cardiffensis",0.907235195752966,0,"train"
"GCA_000154225","Pauljensenia odontolytica_A",0.922068299941577,1,"train"
"GCA_000420065","Varibaculum cambriense",0.6746485826617,1,"train"
"GCA_900105765","Ruania alba",0.994355955032626,1,"train"
"GCA_014898155","Bifidobacterium eulemuris",0.678080572343351,1,"train"
"GCA_009078285","Bifidobacterium jacchi",0.914593331520957,1,"train"
"GCA_000420565","Bifidobacterium magnum",0.729748549215925,0,"train"
"GCA_005405645","Bifidobacterium moukalabense",0.710013373027197,0,"train"
"GCA_000741785","Bifidobacterium stellenboschense",0.842817010698988,0,"train"
"GCA_014635685","Galliscardovia ingluviei",0.986256377722695,1,"train"
"GCA_011927955","Brevibacterium marinum",0.99492426710571,1,"train"
"GCA_000767165","Actinotalea bogoriensis",0.977270108813167,1,"test"
"GCA_004306155","Cellulomonas biazotea",0.996494452309787,1,"test"
"GCA_000092865","Cellulomonas flavigena",0.990228440279968,1,"test"
"GCA_000218545","Cellulomonas gilvus",0.9936987024017,1,"test"
"GCA_003470205","Cellulomonas rhizosphaerae",0.99651345120322,1,"test"
"GCA_004886325","Cellulomonas telluris",0.992619019535382,1,"test"
"GCA_024622945","Cellulosimicrobium cinnabarinum",0.993827559258076,0,"test"
"GCA_003814695","Myceligenerans xiligouense",0.994169267766795,1,"test"
"GCA_900105445","Paraoerskovia marina",0.978069773985536,1,"test"
"GCA_000975135","Demequina aurantiaca",0.996146658834096,1,"train"
"GCA_003130585","Brachybacterium endophyticum",0.993066010875308,1,"train"
"GCA_017876545","Brachybacterium sacelli",0.993918413220146,1,"train"
"GCA_003355475","Brachybacterium saurashtrense",0.993000075438516,1,"train"
"GCA_014191425","Helcobacillus massiliensis",0.989332306301467,1,"train"
"GCA_014190805","Flexivirga oryzae",0.987685953106693,1,"train"
"GCA_900099705","Agrococcus jejuensis",0.996297997729246,1,"train"
"GCA_001660485","Agromyces aureus",0.998537451437211,1,"train"
"GCA_009749465","Agromyces terreus",0.99781953123616,1,"train"
"GCA_004364555","Amnibacterium kyonggiense",0.995884636049134,1,"train"
"GCA_014204935","Conyzicola lurida",0.997808508546138,1,"train"
"GCA_002954245","Cryobacterium aureum",0.99536659931875,1,"train"
"GCA_004402515","Cryobacterium luteum",0.996231186314022,1,"train"
"GCA_900101115","Cryobacterium psychrotolerans",0.996085763892554,1,"train"
"GCA_001571045","Curtobacterium ammoniigenes",0.998076773327282,1,"train"
"GCA_008831155","Gulosibacter chungangensis",0.995832145489629,1,"train"
"GCA_013409865","Herbiconiux flava",0.99726273628087,1,"train"
"GCA_003990045","Labedella endophytica",0.995564612292996,1,"train"
"GCA_000421845","Leucobacter chironomi",0.993935141309305,1,"train"
"GCA_004028235","Leucobacter muris",0.989202944741917,1,"train"
"GCA_017565705","Leucobacter ruminantium",0.98598968137841,1,"train"
"GCA_000350525","Leucobacter salsicius",0.996561045675493,1,"train"
"GCA_017583045","Leucobacter tardus",0.995635479672879,1,"train"
"GCA_001974985","Microbacterium aurum",0.995479953100664,1,"train"
"GCA_000956545","Microbacterium azadirachtae",0.997841937333824,1,"train"
"GCA_003387575","Microbacterium bovistercoris",0.996777894114995,1,"train"
"GCA_016907295","Microbacterium dextranolyticum",0.997813722749429,1,"train"
"GCA_014640975","Microbacterium faecale",0.993878280033555,1,"train"
"GCA_008017415","Microbacterium hatanonis",0.997004991599615,1,"train"
"GCA_001552455","Microbacterium hydrocarbonoxydans",0.997451326608051,1,"train"
"GCA_015278285","Microbacterium invictum",0.997374944049494,1,"train"
"GCA_016907555","Microbacterium laevaniformans",0.997004991477099,1,"train"
"GCA_000422405","Microbacterium luticocti",0.99379286091135,1,"train"
"GCA_019753765","Microbacterium marinilacus",0.996533521573847,1,"train"
"GCA_014635185","Microbacterium murale",0.997676911274669,1,"train"
"GCA_900105335","Microbacterium paraoxydans",0.995578150592182,1,"train"
"GCA_013409745","Microbacterium pseudoresistens",0.995173321541126,1,"train"
"GCA_008710745","Microbacterium rhizomatis",0.996089816934038,1,"train"
"GCA_014646775","Microbacterium saperdae",0.997902225570802,1,"train"
"GCA_004564075","Microbacterium sediminis",0.989897697954809,1,"train"
"GCA_003327285","Microbacterium sorbitolivorans",0.997730228886709,1,"train"
"GCA_003254645","Microbacterium suaedae",0.994903094775784,1,"train"
"GCA_011759705","Microbacterium ulmi",0.997474217512951,1,"train"
"GCA_003121305","Microbacterium ureisolvens",0.997942903315344,1,"train"
"GCA_004217495","Microterricola gilva",0.998634042732417,1,"train"
"GCA_014636455","Mycetocola_A zhadangensis",0.996772761895875,1,"train"
"GCA_003667525","Mycetocola_B reblochoni",0.99559820383531,1,"train"
"GCA_005845365","Rhodoluna limnophila",0.997978169672345,1,"train"
"GCA_003634095","Arthrobacter oryzae",0.997966051114995,1,"test"
"GCA_017052465","Arthrobacter pascens",0.997401245229289,1,"test"
"GCA_000189535","Arthrobacter phenanthrenivorans",0.99728933407687,1,"test"
"GCA_001046895","Arthrobacter siccitolerans",0.997458629729599,1,"test"
"GCA_009192745","Arthrobacter_B citreus",0.994017447105198,1,"test"
"GCA_004357995","Arthrobacter_D crusticola",0.994771380105629,1,"test"
"GCA_002954225","Arthrobacter_D ruber",0.994228400823629,1,"test"
"GCA_003386075","Citricoccus muralis",0.997504236827946,1,"test"
"GCA_006539525","Glutamicibacter nicotianae",0.997071667470612,1,"test"
"GCA_001482365","Kocuria flava",0.987552789479789,1,"test"
"GCA_016907795","Kocuria palustris",0.987351351905115,1,"test"
"GCA_014138825","Nesterenkonia sandarakina",0.997492757715807,1,"test"
"GCA_001313365","Paenarthrobacter nitroguajacolicus",0.750021635240719,1,"test"
"GCA_017876575","Paeniglutamicibacter psychrophenolicus",0.997215493778583,1,"test"
"GCA_012396615","Rothia terrae",0.995323444655568,1,"test"
"GCA_900105965","Specibacter alpinus",0.99831923021969,1,"test"
"GCA_013408645","Specibacter psychrochitiniphilus",0.997887275696241,1,"test"
"GCA_017876675","Specibacter stackebrandtii",0.998926766657679,1,"test"
"GCA_003074135","Euzebya tangerina",0.974109545951281,1,"train"
"GCA_000058485","Frankia alni",0.943262107562926,1,"train"
"GCA_001536285","Frankia irregularis",0.940051820080233,1,"train"
"GCA_900221005","Blastococcus aggregatus",0.958919473838471,1,"train"
"GCA_900116515","Geodermatophilus amargosae",0.947663643155404,1,"train"
"GCA_900188205","Geodermatophilus saharensis",0.94988918415103,1,"train"
"GCA_900215205","Actinoplanes atraurantiacus",0.983347045211782,1,"train"
"GCA_003002065","Actinoplanes ferrugineus_A",0.95935849007273,1,"train"
"GCA_016862515","Asanoa iriomotensis",0.982767379058389,1,"train"
"GCA_003265355","Glycomyces dulcitolivorans",0.994305615331737,1,"train"
"GCA_900091565","Micromonospora marina",0.918716067630193,1,"train"
"GCA_902825405","Micromonospora maritima",0.927460162657541,1,"train"
"GCA_900091575","Micromonospora saelicesensis",0.960924611048665,1,"train"
"GCA_900089585","Micromonospora sediminicola",0.944067864507982,1,"train"
"GCA_015751765","Micromonospora ureilytica",0.961815875148968,1,"train"
"GCA_015751785","Micromonospora vinacea",0.965677292071562,1,"train"
"GCA_014645775","Micromonospora yangpuensis",0.924005721944285,1,"train"
"GCA_003633685","Micromonospora_G pisi",0.959666468528,1,"train"
"GCA_016863255","Planosporangium mesophilum",0.85381607931062,1,"train"
"GCA_016863655","Virgisporangium ochraceum",0.940296370899752,1,"train"
"GCA_900105505","Corynebacterium coyleae",0.96738163031775,1,"train"
"GCA_000143825","Corynebacterium genitalium_A",0.973654769904916,1,"train"
"GCA_000163435","Corynebacterium jeikeium",0.988706309763914,1,"train"
"GCA_900103625","Corynebacterium mycetoides",0.977674571892969,1,"train"
"GCA_900113445","Corynebacterium spheniscorum",0.913021191717725,1,"train"
"GCA_015351405","Corynebacterium suicordis",0.992477503488995,1,"train"
"GCA_013408445","Corynebacterium tuberculostearicum",0.989184950796274,1,"train"
"GCA_900187235","Corynebacterium urealyticum",0.99276921941218,1,"train"
"GCA_900461265","Corynebacterium xerosis",0.9843028532436,1,"train"
"GCA_014643175","Hoyosella rhizosphaerae",0.979309138848091,1,"train"
"GCA_010727325","Mycobacterium alvei",0.957005928189238,1,"train"
