"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
Burkholderia oklahomensis C6786,BM,0.010572775,0.869537619,0.003468501,0.116421105,BM,RLR,Bacteria,32,Mesophiles
Burkholderia plantarii,BM,0.011532255,0.878715236,0.003797157,0.105955353,BM,RLR,Bacteria,30,Mesophiles
Burkholderia territorii,BM,0.0372478,0.79437138,0.00787637,0.160504449,BM,RLR,Bacteria,30,Mesophiles
Calderihabitans maritimus,THP,0.005140673,0.26666016,0.00276403,0.725435138,THP,RLR,Bacteria,65,Hyperthermophiles
Caldicellulosiruptor acetigenus DSM 7040,THP,0.000910896,0.089706266,0.000134361,0.909248476,THP,RLR,Bacteria,70,Hyperthermophiles
Caldicellulosiruptor obsidiansis OB47,THP,0.000448936,0.142363561,0.000211438,0.856976065,THP,RLR,Bacteria,75,Hyperthermophiles
Caldichromatium japonicum,THP,0.000544958,0.670058352,0.000408577,0.328988113,BM,RLR,Bacteria,50,Thermophiles
Caldilinea aerophila DSM 14535 = NBRC 104270,THP,0.000118996,0.847258199,4.67E-05,0.152576087,BM,RLR,Bacteria,55,Thermophiles
Caloramator proteoclasticus DSM 10124,THP,0.012107496,0.719096103,0.006457662,0.262338739,BM,RLR,Bacteria,55,Thermophiles
Candidatus Rhabdochlamydia porcellionis,BM,0.001454385,0.714411038,0.013449436,0.270685141,BM,RLR,Bacteria,25,Mesophiles
Carboxydothermus ferrireducens DSM 11255,THP,0.016874672,0.137970233,0.002620027,0.842535068,THP,RLR,Bacteria,65,Hyperthermophiles
Carboxydothermus pertinax,THP,0.016992575,0.2389167,0.003367601,0.740723124,THP,RLR,Bacteria,65,Hyperthermophiles
Chaetomium globosum CBS 148.51,E,0.015440808,0.000459576,0.982077699,0.002021917,E,RLR,Eukaryota,26,Mesophiles
Clostridium saccharoperbutylacetonicum N1-4(HMT),BM,0.000965441,0.920418069,0.005968273,0.072648218,BM,RLR,Bacteria,37,Mesophiles
Coprothermobacter platensis DSM 11748,THP,0.009429577,0.230187762,0.006186613,0.754196048,THP,RLR,Bacteria,55,Thermophiles
Corallococcus coralloides DSM 2259,BM,0.001410694,0.73624638,0.0004885,0.261854426,BM,RLR,Bacteria,30,Mesophiles
Cryobacterium roopkundense,BM,0.000225774,0.856747724,6.57E-05,0.142960823,BM,RLR,Bacteria,15,Mesophiles
Cryobacterium soli,BM,0.000239162,0.833658511,6.31E-05,0.166039239,BM,RLR,Bacteria,15,Mesophiles
Daejeonella rubra,BM,0.002287822,0.32090258,0.038671218,0.63813838,THP,RLR,Bacteria,15,Mesophiles
Deferribacter autotrophicus,THP,0.003400262,0.400748131,0.001905116,0.593946491,THP,RLR,Bacteria,60,Thermophiles
Deferrisoma camini S3R1,THP,0.001229458,0.244882995,0.00108143,0.752806118,THP,RLR,Bacteria,50,Thermophiles
Deinococcus marmoris DSM 12784,BM,0.0027309,0.570882627,0.000455448,0.425931026,BM,RLR,Bacteria,15,Mesophiles
Delftia lacustris,BM,0.029437769,0.816048868,0.010077852,0.144435512,BM,RLR,Bacteria,24,Mesophiles
Desulfohalotomaculum alkaliphilum DSM 12257,THP,0.013983935,0.392123397,0.003430307,0.590462361,THP,RLR,Bacteria,50,Thermophiles
Desulfonema limicola,BM,0.004434528,0.675038696,0.004947497,0.31557928,BM,RLR,Bacteria,30,Mesophiles
Desulfotomaculum nigrificans DSM 574,THP,0.004724941,0.478636831,0.006325957,0.510312271,THP,RLR,Bacteria,55,Thermophiles
Desulfurispora thermophila DSM 16022,THP,0.006911861,0.161239509,0.00137469,0.830473939,THP,RLR,Bacteria,50,Thermophiles
Desulfurococcus mucosus DSM 2162,THP,0.223417427,0.00818793,0.000197285,0.768197359,THP,RLR,Archaea,85,Hyperthermophiles
Dictyostelium discoideum AX4,E,4.80E-05,8.80E-05,0.999275112,0.000588903,E,RLR,Eukaryota,24,Mesophiles
Fervidobacterium nodosum Rt17-B1,THP,0.012472138,0.146386184,0.006587891,0.834553788,THP,RLR,Bacteria,70,Hyperthermophiles
Fervidobacterium pennivorans DSM 9078,THP,0.011939443,0.091665389,0.004621626,0.891773542,THP,RLR,Bacteria,65,Hyperthermophiles
Flavobacterium faecale,BM,0.004140377,0.613936246,0.144629563,0.237293814,BM,RLR,Bacteria,18,Mesophiles
Francisella persica ATCC VR-331,BM,0.001029393,0.872805482,0.002429612,0.123735513,BM,RLR,Bacteria,34,Mesophiles
Fusarium poae,E,0.004513071,0.000292028,0.994876231,0.00031867,E,RLR,Eukaryota,25,Mesophiles
Geobacillus jurassicus NBRC 107829,THP,0.03384567,0.157400886,0.02380565,0.784947794,THP,RLR,Bacteria,55,Thermophiles
Geobacillus kaustophilus HTA426,THP,0.013378499,0.235608702,0.035314367,0.715698433,THP,RLR,Bacteria,55,Thermophiles
Geobacillus thermocatenulatus,THP,0.013006874,0.269074058,0.037682159,0.680236908,THP,RLR,Bacteria,60,Thermophiles
Geobacillus thermodenitrificans,THP,0.01117942,0.062658296,0.008211037,0.917951247,THP,RLR,Bacteria,55,Thermophiles
Geobacillus vulcani PSS1,THP,0.012722424,0.239908515,0.033898238,0.713470822,THP,RLR,Bacteria,50,Thermophiles
Gimesia alba,BM,0.002040198,0.664799352,0.026539756,0.306620694,BM,RLR,Bacteria,30,Mesophiles
Gimesia fumaroli,BM,0.002001514,0.660812328,0.026945688,0.310240471,BM,RLR,Bacteria,28,Mesophiles
Glaciibacter superstes DSM 21135,BM,0.00017227,0.753723629,6.03E-05,0.246043794,BM,RLR,Bacteria,15,Mesophiles
Haladaptatus cibarius D43,AM,0.984886061,3.96E-05,0.001718552,0.013355741,AM,RLR,Archaea,37,Mesophiles
Haloarchaeobius iranensis,AM,0.963780942,0.000153999,0.00275402,0.03331104,AM,RLR,Archaea,37,Mesophiles
Halobaculum halophilum,AM,0.946162064,0.000140519,0.004750423,0.048946994,AM,RLR,Archaea,37,Mesophiles
Halobellus rufus,AM,0.953851834,0.000130231,0.004359753,0.041658182,AM,RLR,Archaea,37,Mesophiles
Halococcus thailandensis JCM 13552,AM,0.985643627,4.11E-05,0.00098955,0.013325673,AM,RLR,Archaea,37,Mesophiles
Halogeometricum pallidum JCM 14848,AM,0.963914917,0.000183483,0.003640694,0.032260906,AM,RLR,Archaea,37,Mesophiles
Halogranum rubrum,AM,0.986257076,5.02E-05,0.001120949,0.012571758,AM,RLR,Archaea,37,Mesophiles
Halomicrobium katesii DSM 19301,AM,0.960605912,0.000115913,0.004410753,0.034867422,AM,RLR,Archaea,40,Mesophiles
Halomicrobium zhouii,AM,0.985633683,6.61E-05,0.002167697,0.012132557,AM,RLR,Archaea,37,Mesophiles
Halopelagius longus,AM,0.99060783,5.70E-05,0.000835585,0.008499543,AM,RLR,Archaea,37,Mesophiles
Halopenitus persicus,AM,0.966878176,0.000124263,0.004393048,0.028604512,AM,RLR,Archaea,37,Mesophiles
Halorhabdus rudnickae,AM,0.916285438,0.000182385,0.004434959,0.079097218,AM,RLR,Archaea,38,Mesophiles
Halorubrum depositum,AM,0.798744733,0.00032283,0.003601988,0.197330448,AM,RLR,Archaea,37,Mesophiles
Halorubrum halodurans,AM,0.942988106,0.000122575,0.004629247,0.052260071,AM,RLR,Archaea,37,Mesophiles
Halorubrum persicum,AM,0.935875137,0.000250241,0.005649908,0.058224714,AM,RLR,Archaea,37,Mesophiles
Halorussus salinus,AM,0.941363521,0.000147226,0.004687121,0.053802133,AM,RLR,Archaea,37,Mesophiles
Halosimplex halophilum,AM,0.964985069,6.93E-05,0.001522213,0.033423424,AM,RLR,Archaea,37,Mesophiles
Halosimplex litoreum,AM,0.93085722,0.000187024,0.004249654,0.064706101,AM,RLR,Archaea,37,Mesophiles
Halosimplex pelagicum,AM,0.940690336,0.00016172,0.004453515,0.054694429,AM,RLR,Archaea,37,Mesophiles
Haloterrigena longa,AM,0.969431114,5.35E-05,0.00388079,0.026634548,AM,RLR,Archaea,37,Mesophiles
Halovivax asiaticus JCM 14624,AM,0.960486705,6.27E-05,0.004961472,0.034489084,AM,RLR,Archaea,37,Mesophiles
Hanseniaspora osmophila,E,0.003436399,3.13E-05,0.995971373,0.000560952,E,RLR,Eukaryota,25,Mesophiles
Hymenobacter elongatus,BM,0.000714438,0.113727933,0.012587234,0.872970396,THP,RLR,Bacteria,15,Mesophiles
Hymenobacter lapidarius,BM,0.001654924,0.18413286,0.020787608,0.793424608,THP,RLR,Bacteria,15,Mesophiles
Ignicoccus islandicus DSM 13165,THP,0.042685878,0.001690713,4.70E-05,0.955576392,THP,RLR,Archaea,90,Hyperthermophiles
Janthinobacterium lividum,BM,0.020275816,0.884380825,0.009730568,0.085612791,BM,RLR,Bacteria,25,Mesophiles
Kibdelosporangium phytohabitans,BM,0.001206197,0.705986771,9.10E-05,0.292716,BM,RLR,Bacteria,28,Mesophiles
Kosmotoga pacifica,THP,0.015953023,0.143566742,0.006677565,0.83380267,THP,RLR,Bacteria,70,Hyperthermophiles
Ktedonosporobacter rubrisoli,BM,0.000989382,0.906525044,0.000222769,0.092262805,BM,RLR,Bacteria,28,Mesophiles
Kutzneria albida DSM 43870,BM,0.000811117,0.622252023,5.21E-05,0.376884808,BM,RLR,Bacteria,28,Mesophiles
Labilithrix luteola,BM,0.001098213,0.863421003,0.000251158,0.135229625,BM,RLR,Bacteria,29,Mesophiles
Laceyella sacchari,THP,0.003555962,0.148234659,0.001983597,0.846225782,THP,RLR,Bacteria,50,Thermophiles
Lachancea meyersii CBS 8951,E,0.03787195,0.003717888,0.950824514,0.007585648,E,RLR,Eukaryota,25,Mesophiles
Marinithermus hydrothermalis DSM 14884,THP,0.000208661,0.352845091,0.000722103,0.646224146,THP,RLR,Bacteria,70,Hyperthermophiles
Marinitoga hydrogenitolerans DSM 16785,THP,0.064434515,0.127974404,0.007098358,0.800492723,THP,RLR,Bacteria,60,Thermophiles
Marinobacter psychrophilus,BM,0.000356466,0.935306968,0.000760183,0.063576384,BM,RLR,Bacteria,18,Mesophiles
Massilia psychrophila,BM,0.044239496,0.611446672,0.005860849,0.338452983,BM,RLR,Bacteria,15,Mesophiles
Meiothermus cateniformans,THP,0.006876654,0.224153127,0.001187702,0.767782517,THP,RLR,Bacteria,55,Thermophiles
Meiothermus silvanus DSM 9946,THP,0.003015901,0.165991708,0.001162123,0.829830268,THP,RLR,Bacteria,50,Thermophiles
Melittangium boletus DSM 14713,BM,0.001292537,0.715711993,0.000462486,0.282532984,BM,RLR,Bacteria,29,Mesophiles
Mesorhizobium opportunistum WSM2075,BM,0.000842932,0.784255591,0.000389051,0.214512426,BM,RLR,Bacteria,28,Mesophiles
Metallosphaera cuprina Ar-4,THP,0.456336102,0.013993654,0.000457268,0.529212976,THP,RLR,Archaea,65,Hyperthermophiles
Methanimicrococcus blatticola,AM,0.804208735,0.017778556,0.014462814,0.163549895,AM,RLR,Archaea,35,Mesophiles
Methanobacterium formicicum,AM,0.847903863,0.008580752,0.027716905,0.11579848,AM,RLR,Archaea,37,Mesophiles
Methanobacterium petrolearium,AM,0.727196408,0.014993371,0.019153674,0.238656547,AM,RLR,Archaea,35,Mesophiles
Methanobrevibacter boviskoreani JH1,AM,0.854045367,0.007151609,0.026312915,0.112490109,AM,RLR,Archaea,37,Mesophiles
Methanobrevibacter ruminantium M1,AM,0.825324273,0.008687715,0.042023749,0.123964262,AM,RLR,Archaea,37,Mesophiles
Methanocaldococcus bathoardescens,THP,0.2343205,0.001381272,0.001681631,0.762616597,THP,RLR,Archaea,80,Hyperthermophiles
Methanocella conradii HZ254,THP,0.855090841,0.000306872,0.005688788,0.1389135,AM,RLR,Archaea,50,Thermophiles
Methanocella paludicola SANAE,AM,0.789215141,0.000605475,0.004457001,0.205722383,AM,RLR,Archaea,37,Mesophiles
Methanococcoides burtonii DSM 6242,AM,0.845123192,0.01654999,0.012478105,0.125848713,AM,RLR,Archaea,21,Mesophiles
Methanococcus voltae,AM,0.772726768,0.00500116,0.005881791,0.216390281,AM,RLR,Archaea,30,Mesophiles
Methanohalophilus mahii DSM 5219,AM,0.831752671,0.022053763,0.018379026,0.12781454,AM,RLR,Archaea,37,Mesophiles
Methanolacinia paynteri,AM,0.848968699,0.004388863,0.007161146,0.139481292,AM,RLR,Archaea,37,Mesophiles
Methanolacinia petrolearia DSM 11571,AM,0.866735033,0.007455455,0.012498235,0.113311276,AM,RLR,Archaea,37,Mesophiles
Methanolobus profundi,AM,0.894423852,0.01011878,0.00952187,0.085935498,AM,RLR,Archaea,30,Mesophiles
Methanolobus psychrotolerans,AM,0.913668895,0.006589077,0.006242093,0.073499934,AM,RLR,Archaea,35,Mesophiles
Methanosarcina acetivorans C2A,AM,0.839080787,0.020847604,0.016536594,0.123535015,AM,RLR,Archaea,37,Mesophiles
Methanosarcina flavescens,AM,0.806163296,0.020929888,0.016064663,0.156842152,AM,RLR,Archaea,45,Mesophiles
Methanosarcina mazei Go1,AM,0.835642497,0.020774661,0.016673617,0.126909225,AM,RLR,Archaea,37,Mesophiles
Methanosarcina spelaei,AM,0.798673024,0.019384434,0.016416125,0.165526417,AM,RLR,Archaea,29,Mesophiles
Methanosarcina vacuolata Z-761,AM,0.823666542,0.021505344,0.017429841,0.137398273,AM,RLR,Archaea,37,Mesophiles
Methanospirillum hungatei JF-1,AM,0.866062964,0.010738982,0.012484119,0.110713935,AM,RLR,Archaea,37,Mesophiles
Methanothrix soehngenii GP6,AM,0.827407789,0.02211423,0.013151903,0.137326077,AM,RLR,Archaea,37,Mesophiles
Methanothrix thermoacetophila PT,THP,0.724004172,0.0056763,0.007517778,0.262801749,AM,RLR,Archaea,55,Thermophiles
Microlunatus soli,BM,0.000446132,0.735849755,2.05E-05,0.263683657,BM,RLR,Bacteria,28,Mesophiles
Micromonospora coriariae,BM,0.000983725,0.545681019,8.15E-05,0.453253778,BM,RLR,Bacteria,28,Mesophiles
Micromonospora inositola,BM,0.001041712,0.552378798,9.28E-05,0.446486661,BM,RLR,Bacteria,28,Mesophiles
Micromonospora viridifaciens,BM,0.000975337,0.542287107,8.31E-05,0.456654467,BM,RLR,Bacteria,28,Mesophiles
Murdochiella vaginalis,BM,0.004913179,0.622241564,0.007244854,0.365600403,BM,RLR,Bacteria,37,Mesophiles
Mycobacterium vicinigordonae,BM,0.002950636,0.354654161,7.72E-05,0.642317996,THP,RLR,Bacteria,30,Mesophiles
Mycolicibacterium aichiense,BM,0.002563839,0.336903124,8.01E-05,0.660452964,THP,RLR,Bacteria,37,Mesophiles
Mycolicibacterium arabiense,BM,0.002089865,0.297251935,6.76E-05,0.700590581,THP,RLR,Bacteria,28,Mesophiles
Mycolicibacterium smegmatis,BM,0.006706427,0.587094961,0.000359852,0.40583876,BM,RLR,Bacteria,37,Mesophiles
Mycoplasma crocodyli MP145,BM,0.000330594,0.80345566,0.010699868,0.185513877,BM,RLR,Bacteria,37,Mesophiles
Mycoplasma feriruminatoris,BM,0.000156947,0.812898327,0.028592783,0.158351943,BM,RLR,Bacteria,37,Mesophiles
Mycoplasma nasistruthionis,BM,0.000436927,0.860560037,0.013903674,0.125099362,BM,RLR,Bacteria,37,Mesophiles
Mycoplasmopsis bovigenitalium,BM,0.000489041,0.870641668,0.014517265,0.114352027,BM,RLR,Bacteria,37,Mesophiles
Mycoplasmopsis californica,BM,0.000473674,0.869263669,0.014094771,0.116167886,BM,RLR,Bacteria,37,Mesophiles
Mycoplasmopsis pulmonis,BM,0.000452388,0.75633734,0.007756243,0.235454029,BM,RLR,Bacteria,37,Mesophiles
Myroides profundi,BM,0.004172762,0.641860192,0.181335629,0.172631417,BM,RLR,Bacteria,18,Mesophiles
Nannizzia gypsea CBS 118893,E,0.014414894,0.000907934,0.969343785,0.015333387,E,RLR,Eukaryota,24,Mesophiles
Natrarchaeobaculum aegyptiacum,THP,0.949359507,8.28E-05,0.004939656,0.045618028,AM,RLR,Archaea,55,Thermophiles
Natrialba aegyptia DSM 13077,AM,0.99260649,1.53E-05,0.001002528,0.00637565,AM,RLR,Archaea,37,Mesophiles
Natrinema salaciae,AM,0.98445977,1.60E-05,0.000988591,0.014535615,AM,RLR,Archaea,45,Mesophiles
Niastella koreensis GR20-10,BM,0.003314802,0.609662671,0.067099036,0.319923491,BM,RLR,Bacteria,26,Mesophiles
Nitrospirillum amazonense CBAmc,BM,0.012232649,0.742203109,0.005898594,0.239665648,BM,RLR,Bacteria,30,Mesophiles
Nocardia brasiliensis,BM,0.000776845,0.62579629,4.24E-05,0.373384428,BM,RLR,Bacteria,37,Mesophiles
Nocardia yunnanensis,BM,0.001029042,0.361679762,2.89E-05,0.637262264,THP,RLR,Bacteria,28,Mesophiles
Nonomuraea coxensis DSM 45129,BM,0.000116032,0.866502479,3.58E-05,0.13334567,BM,RLR,Bacteria,29,Mesophiles
Oceanithermus profundus DSM 14977,THP,0.000248262,0.392671641,0.000794543,0.606285553,THP,RLR,Bacteria,60,Thermophiles
Ogataea parapolymorpha DL-1,E,0.008390986,0.000168831,0.991053319,0.000386864,E,RLR,Eukaryota,25,Mesophiles
Ogataea polymorpha,E,0.360460659,0.00219838,0.630429358,0.006911603,E,RLR,Eukaryota,25,Mesophiles
Paenibacillus dendritiformis,BM,0.002592692,0.39138867,0.010164996,0.595853642,THP,RLR,Bacteria,37,Mesophiles
Paenibacillus odorifer,BM,0.003933694,0.702613677,0.016794371,0.276658258,BM,RLR,Bacteria,30,Mesophiles
Paludibaculum fermentans,BM,0.002012333,0.647272294,0.00089691,0.349818464,BM,RLR,Bacteria,25,Mesophiles
Paraburkholderia acidiphila,BM,0.00910865,0.878372472,0.004866638,0.10765224,BM,RLR,Bacteria,28,Mesophiles
Paraburkholderia atlantica,BM,0.00848192,0.880109066,0.005079028,0.106329985,BM,RLR,Bacteria,28,Mesophiles
Paraburkholderia caffeinilytica,BM,0.03020632,0.753054668,0.010543039,0.206195974,BM,RLR,Bacteria,28,Mesophiles
Parageobacillus thermoglucosidasius,THP,0.016809515,0.304128673,0.049891342,0.629170471,THP,RLR,Bacteria,55,Thermophiles
Paraglaciecola psychrophila 170,BM,0.000460191,0.908595607,0.001244184,0.089700018,BM,RLR,Bacteria,15,Mesophiles
Pedobacter psychrophilus,BM,0.003422566,0.541070573,0.056940615,0.398566246,BM,RLR,Bacteria,16,Mesophiles
Penicillium expansum,E,0.005616633,4.76E-06,0.994191799,0.000186806,E,RLR,Eukaryota,24,Mesophiles
Penicillium subrubescens,E,0.003777765,0.000154537,0.995923815,0.000143884,E,RLR,Eukaryota,25,Mesophiles
Petrotoga halophila DSM 16923,THP,0.102589399,0.248240561,0.017670622,0.631499418,THP,RLR,Bacteria,60,Thermophiles
Petrotoga mexicana DSM 14811,THP,0.089974964,0.205904085,0.012111375,0.692009576,THP,RLR,Bacteria,55,Thermophiles
Petrotoga sibirica DSM 13575,THP,0.070489838,0.212151443,0.01254687,0.704811849,THP,RLR,Bacteria,55,Thermophiles
Phytohabitans suffuscus,BM,0.000979815,0.503245966,8.71E-05,0.495687073,BM,RLR,Bacteria,28,Mesophiles
Planifilum fulgidum,THP,0.008055713,0.18515247,0.002144383,0.804647434,THP,RLR,Bacteria,60,Thermophiles
Pleurotus pulmonarius,E,0.004363723,0.000231807,0.995087715,0.000316755,E,RLR,Eukaryota,22,Mesophiles
Polaribacter pacificus,BM,0.004100289,0.489257433,0.088518771,0.418123506,BM,RLR,Bacteria,16,Mesophiles
Protomyces lactucae-debilis,E,0.015542852,0.000186245,0.98269969,0.001571213,E,RLR,Eukaryota,25,Mesophiles
Pseudomonas asplenii,BM,8.11E-05,0.980156323,0.000352713,0.019409828,BM,RLR,Bacteria,28,Mesophiles
Pseudomonas monsensis,BM,4.89E-05,0.983887961,0.0002519,0.015811193,BM,RLR,Bacteria,28,Mesophiles
Pseudomonas silesiensis,BM,6.62E-05,0.983209755,0.000322432,0.016401607,BM,RLR,Bacteria,28,Mesophiles
Pseudomonas vancouverensis,BM,5.51E-05,0.983022022,0.000260939,0.016661935,BM,RLR,Bacteria,30,Mesophiles
Pseudorhodoplanes sinuspersici,BM,0.000732315,0.879213328,0.000290693,0.119763663,BM,RLR,Bacteria,30,Mesophiles
Pseudothermotoga lettingae TMO,THP,0.01059099,0.178253332,0.007341131,0.803814547,THP,RLR,Bacteria,65,Hyperthermophiles
Psychrobacillus insolitus,BM,0.039936319,0.123935781,0.021280526,0.814847374,THP,RLR,Bacteria,15,Mesophiles
Psychrobacter glacincola,BM,0.000290301,0.962474278,0.000978403,0.036257018,BM,RLR,Bacteria,15,Mesophiles
Purpureocillium lilacinum,E,0.000993475,3.59E-05,0.99869517,0.000275504,E,RLR,Eukaryota,25,Mesophiles
Pyrobaculum arsenaticum DSM 13514,THP,0.10186819,0.004582947,0.000121309,0.893427553,THP,RLR,Archaea,95,Hyperthermophiles
Pyrodictium occultum,THP,0.060676646,0.002123825,5.97E-05,0.937139854,THP,RLR,Archaea,95,Hyperthermophiles
Ralstonia insidiosa,BM,0.023736814,0.756334778,0.007499201,0.212429207,BM,RLR,Bacteria,28,Mesophiles
Rhizobium bangladeshense,BM,0.001558934,0.775832362,0.000394529,0.222214174,BM,RLR,Bacteria,29,Mesophiles
Rhizobium esperanzae,BM,0.001499418,0.771493954,0.000385351,0.226621277,BM,RLR,Bacteria,28,Mesophiles
Rhodococcus erythropolis R138,BM,0.000870214,0.736494319,4.60E-05,0.262589471,BM,RLR,Bacteria,29,Mesophiles
Rhodothermus marinus DSM 4252,THP,0.003156243,0.589535984,0.000192987,0.407114785,BM,RLR,Bacteria,67,Hyperthermophiles
Rhodotorula diobovata,E,0.001120774,0.000214275,0.994018302,0.004646649,E,RLR,Eukaryota,25,Mesophiles
Roseovarius indicus,BM,0.001030577,0.77502962,0.000539569,0.223400235,BM,RLR,Bacteria,28,Mesophiles
Saccharomyces paradoxus,E,0.00027926,0.000869756,0.843482792,0.155368192,E,RLR,Eukaryota,25,Mesophiles
Saccharothrix espanaensis DSM 44229,BM,0.000877205,0.666588064,6.79E-05,0.332466828,BM,RLR,Bacteria,28,Mesophiles
Salinadaptatus halalkaliphilus,AM,0.936850071,0.000147533,0.004367939,0.058634457,AM,RLR,Archaea,37,Mesophiles
Sandarakinorhabdus limnophila DSM 17366,BM,0.000801695,0.864889251,0.000348124,0.13396093,BM,RLR,Bacteria,15,Mesophiles
Scardovia inopinata JCM 12537,BM,0.00048407,0.54939998,6.40E-05,0.450051932,BM,RLR,Bacteria,37,Mesophiles
Schizosaccharomyces cryophilus OY26,E,0.00742172,0.001447263,0.99066188,0.000469137,E,RLR,Eukaryota,25,Mesophiles
Schizosaccharomyces octosporus yFS286,E,0.004623735,0.00120357,0.993742652,0.000430044,E,RLR,Eukaryota,25,Mesophiles
