"species","OGT","train_test","predicted_OGT"
"aquamicrobium_defluvii",30,"train",29.2936266575912
"aquitalea_magnusonii",28,"test",29.1829555211845
"arcanobacterium_haemolyticum",37,"test",35.0506066304341
"archaeoglobus_fulgidus",81.5,"train",80.9196536641347
"archaeoglobus_sulfaticallidus",75,"train",73.3435504213196
"archaeoglobus_veneficus",75,"test",75.7181371519149
"archangium_gephyra",28.0952380952381,"train",27.7869253853663
"arcobacter_butzleri",36.3333333333333,"train",28.1650064491049
"arcobacter_nitrofigilis",25,"test",28.2926701022575
"arcobacter_thereius",28,"train",29.5057487959349
"arenimonas_composti",30,"test",36.4336054874571
"arenimonas_malthae",28,"train",36.4184540946876
"arenimonas_oryziterrae",28,"train",34.2919323046221
"arthrobacter_alpinus",20,"train",25.1439151835644
"arthrobacter_crystallopoietes",30,"train",31.7649200592931
"asaia_platycodi",28,"train",28.5453437314811
"asanoa_ferruginea",28,"train",27.4630819549988
"asticcacaulis_excentricus",30,"train",31.2794904268907
"atopobium_minutum",37,"train",36.3428542045748
"atopobium_parvulum",37,"train",35.8884170003289
"atopobium_vaginae",37,"train",37.9687273222356
"aureimonas_altamirensis",28,"test",27.3618888120957
"aureimonas_ureilytica",28,"train",26.0198552885029
"austwickia_chelonae",37,"train",32.9715962771037
"azorhizobium_caulinodans",30,"train",28.8688660439015
"azospirillum_lipoferum",30,"train",25.692626334228
"azospirillum_thiophilum",28,"train",23.294913140904
"azotobacter_chroococcum",30,"train",32.3031986737387
"bacillus_akibai",35,"train",32.1468108843692
"bacillus_alcalophilus",31.4,"test",32.7963989660321
"bacillus_altitudinis",25,"train",32.8662035351591
"bacillus_anthracis",33.5,"train",33.8005555857726
"bacillus_aryabhattai",29,"test",30.9305065365742
"bacillus_azotoformans",30,"train",34.7263466975446
"bacillus_bataviensis",30,"test",30.9962829799138
"bacillus_beveridgei",30,"train",32.6276498213957
"bacillus_boroniphilus",30,"train",36.4087828818043
"bacillus_butanolivorans",30,"train",31.035109094613
"bacillus_cereus",29.6744186046512,"train",33.3252865996657
"bacillus_cibi",30,"test",33.4296445181916
"bacillus_clausii",32,"train",33.8273097318953
"bacillus_coagulans",35.8181818181818,"train",40.3350036031013
"bacillus_coahuilensis",30,"train",NA
"bacillus_decisifrondis",30,"test",32.09304040468
"bacillus_endophyticus",30,"train",30.2965753016157
"bacillus_flexus",29.2,"test",30.608417002491
"bacillus_galactosidilyticus",30,"train",34.7128047426809
"bacillus_ginsengihumi",29,"train",32.8376591097211
"bacillus_halodurans",31.2727272727273,"train",35.6241701053949
"bacillus_hemicellulosilyticus",30,"train",35.2922195563228
"bacillus_koreensis",30,"train",33.6056238550604
"bacillus_lehensis",30,"train",31.3693346045356
"bacillus_licheniformis",31.4827586206897,"train",34.9601275751723
"bacillus_luciferensis",30,"train",31.2572666465076
"bacillus_marisflavi",30,"train",32.9722568852251
"bacillus_marmarensis",30,"test",29.9781065690712
"bacillus_megaterium",29.6153846153846,"test",30.8376713795727
"bacillus_methanolicus",45,"train",40.1374553975206
"bacillus_muralis",30,"test",31.6644833481175
"bacillus_murimartini",28,"train",33.1039171718495
"bacillus_mycoides",25,"train",33.8178835880435
"bacillus_niacini",29,"train",NA
"bacillus_okuhidensis",45,"train",35.2341242894533
"bacillus_plakortidis",28,"test",NA
"bacillus_pseudalcaliphilus",30,"test",33.0154565953374
"bacillus_pseudofirmus",31.3333333333333,"test",32.6478875102125
"bacillus_pseudomycoides",30,"test",34.837849202577
"bacillus_safensis",30,"train",33.1839387592495
"bacillus_selenatarsenatis",40,"train",35.0277878595011
"bacillus_siamensis",30,"train",33.6227343774866
"bacillus_simplex",29.7391304347826,"train",30.9746296452972
"bacillus_smithii",54.2857142857143,"train",40.7470292189946
"bacillus_sporothermodurans",30,"train",35.8675675177926
"bacillus_subterraneus",40,"train",34.1538094802745
"bacillus_subtilis",29.961038961039,"train",33.1524011833414
"bacillus_thermoamylovorans",40,"train",39.2292034339042
"bacillus_thuringiensis",30,"train",33.2007968626584
"bacillus_vietnamensis",30,"test",33.0563859054664
"bacillus_wakoensis",30,"train",31.894417881473
"bacillus_weihenstephanensis",30,"train",32.9396038871762
"bacteroides_caccae",37,"train",35.2612498989536
"bacteroides_cellulosilyticus",37,"train",32.5070399457038
"bacteroides_coprocola",37,"train",35.3844778861152
"bacteroides_coprophilus",37,"train",37.2452655143044
"bacteroides_coprosuis",37,"train",34.0568684611684
"bacteroides_dorei",37,"test",33.8937170040815
"bacteroides_eggerthii",37,"test",35.977434340114
"bacteroides_fragilis",37,"train",33.9094238378886
"bacteroides_helcogenes",37,"train",34.8398197557754
"bacteroides_intestinalis",37,"test",33.1462046193376
"bacteroides_ovatus",37,"test",31.6899770111138
"bacteroides_plebeius",37,"test",35.5222473063052
"bacteroides_pyogenes",37,"train",36.8443279226259
"bacteroides_salanitronis",37,"test",40.5837315731173
"bacteroides_salyersiae",37,"train",33.6443381790998
"bacteroides_stercoris",37,"train",36.2577141790493
"bacteroides_thetaiotaomicron",37,"train",32.9778327978302
"bacteroides_uniformis",37,"test",35.7762352635036
"bacteroides_xylanisolvens",37,"train",32.4438242801355
"barnesiella_intestinihominis",37,"test",37.7300977680907
"barnesiella_viscericola",37,"test",40.9605293525559
"bartonella_alsatica",37,"train",32.6659569477081
"bartonella_bacilliformis",26,"train",31.720887843925
"bartonella_birtlesii",37,"train",31.2778675412105
"bartonella_koehlerae",37,"train",32.0687139303165
"bartonella_quintana",37,"train",32.4801143178292
"bartonella_rochalimae",37,"train",32.2131038680717
"bellilinea_caldifistulae",55,"train",46.4600838762356
"bergeyella_zoohelcum",28,"train",30.9436400718113
"beutenbergia_cavernae",28,"train",36.187885922343
"bhargavaea_cecembensis",30,"test",35.0586343426823
"bibersteinia_trehalosi",37,"train",30.5061017421453
"bifidobacterium_actinocoloniiforme",37,"train",37.3461043105887
"bifidobacterium_adolescentis",37,"train",35.73186904348
"bifidobacterium_angulatum",37,"train",35.3839687131802
"bifidobacterium_animalis",37,"train",39.008908073832
"bifidobacterium_bohemicum",37,"train",34.1732239391502
"bifidobacterium_bombi",30,"test",34.8458656820168
"bifidobacterium_boum",37,"test",38.1377851959941
"bifidobacterium_breve",37,"train",35.624835112491
"bifidobacterium_callitrichos",37,"train",35.2269495179423
"bifidobacterium_catenulatum",37,"test",35.889320188279
"bifidobacterium_choerinum",37,"test",39.9218328061274
"bifidobacterium_coryneforme",37,"train",36.0813615039921
"bifidobacterium_cuniculi",37,"test",39.920698186055
"bifidobacterium_dentium",37,"train",35.0662103962684
"bifidobacterium_gallicum",37,"train",38.8069244956346
"bifidobacterium_gallinarum",37,"train",39.9904200182794
"bifidobacterium_indicum",37,"train",36.2600535273969
"bifidobacterium_kashiwanohense",37,"train",35.8927446861045
"bifidobacterium_longum",37,"train",35.8406930308907
"bifidobacterium_merycicum",37,"test",36.2990588279626
"bifidobacterium_minimum",37,"train",32.6147077011483
"bifidobacterium_mongoliense",37,"train",32.4031532591739
"bifidobacterium_pseudocatenulatum",37,"train",35.8238413822143
"bifidobacterium_pseudolongum",37,"train",40.4005102529055
"bifidobacterium_psychraerophilum",37,"train",28.1423539700806
"bifidobacterium_pullorum",37,"train",40.7039874542505
"bifidobacterium_reuteri",37,"train",36.6285730395755
"bifidobacterium_ruminantium",37,"train",36.0009427051205
"bifidobacterium_saeculare",37,"test",40.1803841175979
"bifidobacterium_saguini",37,"train",36.4583477464912
"bifidobacterium_scardovii",37,"train",35.1967692783048
"bifidobacterium_stercoris",37,"test",35.39383931962
"bifidobacterium_subtile",37,"train",31.4410409484174
"bifidobacterium_tsurumiense",37,"train",34.9405227455983
"bilophila_wadsworthia",30,"train",30.7773118708168
"bizionia_argentinensis",20,"test",27.7577385464971
"blastochloris_viridis",26.25,"train",34.4703932347453
"blautia_hansenii",37,"train",35.7345668726022
"blautia_hydrogenotrophica",37,"train",36.4599825938399
"bordetella_avium",37,"train",32.8777088561445
"bordetella_bronchiseptica",37,"train",33.2176149273542
"bordetella_hinzii",37,"train",32.9355248361931
"bordetella_holmesii",37,"train",34.5096007346051
"bordetella_petrii",30,"train",33.2234906622277
"borrelia_afzelii",36,"train",41.7526332301787
"borrelia_burgdorferi",35,"train",44.2081444821896
"borrelia_garinii",37,"test",43.1779279041267
"bosea_thiooxidans",33.5,"test",28.5688513738707
"brachybacterium_faecium",30,"train",30.0776907383362
"brachybacterium_muris",28,"test",31.6560741991481
"bradyrhizobium_elkanii",30,"train",25.1725196651544
"brevibacillus_agri",32.5,"train",36.7812888497709
"brevibacillus_borstelensis",33.3333333333333,"train",37.8514847330178
"brevibacillus_brevis",32.5,"test",33.5733120556602
"brevibacillus_choshinensis",30,"train",32.3350813885632
"brevibacillus_formosus",30,"test",33.8357741994566
"brevibacillus_panacihumi",30,"train",35.9904433223989
"brevibacillus_parabrevis",30,"train",36.1699532231155
"brevibacterium_linens",30,"train",24.8576429871808
"brevibacterium_mcbrellneri",37,"test",34.7908819392454
"brevundimonas_diminuta",29,"train",30.8668148957853
"brevundimonas_naejangsanensis",28,"train",31.3703989639686
"brevundimonas_subvibrioides",30,"test",26.6326588415231
"brochothrix_thermosphacta",30,"train",32.5444231747372
"bulleidia_extructa",35,"train",37.5163482981951
"burkholderia_ambifaria",29,"test",26.5893243225806
"burkholderia_contaminans",28,"train",25.7822853869187
"burkholderia_dolosa",29.5,"train",29.9350692777453
"burkholderia_glumae",28,"train",26.7051689741116
"burkholderia_lata",30,"train",26.5740802087251
"burkholderia_latens",30,"train",28.5438709832524
"burkholderia_metallica",30,"train",27.6305085919924
"burkholderia_multivorans",28,"train",29.7224563006952
"burkholderia_plantarii",29.3333333333333,"train",24.5779500909167
"burkholderia_pseudomallei",37,"train",28.0590131398211
"burkholderia_pyrrocinia",28,"train",26.3312393419016
"burkholderia_seminalis",30,"train",27.5310905071288
"burkholderia_stabilis",30,"test",25.8173717830802
"burkholderia_thailandensis",29,"train",28.9597478110435
"burkholderia_ubonensis",30,"train",27.9847644875313
"burkholderia_vietnamiensis",28,"test",28.0202210891764
"buttiauxella_agrestis",29,"train",29.4659786416418
"buttiauxella_brennerae",28,"train",29.0983756649979
"buttiauxella_gaviniae",28,"train",28.046999625678
"buttiauxella_noackiae",28,"test",28.9112585192659
"butyrivibrio_crossotus",37,"train",38.8463569001732
"butyrivibrio_proteoclasticus",37,"test",37.8698428340025
"caldicellulosiruptor_bescii",75,"test",62.419333866325
"caldicellulosiruptor_hydrothermalis",65,"train",60.9025794736415
"caldicellulosiruptor_kronotskyensis",70,"train",60.7453401185022
"caldicellulosiruptor_owensensis",70,"train",61.5740328849169
"caldicellulosiruptor_saccharolyticus",67.5,"train",62.0807272002003
"caldilinea_aerophila",55,"train",44.5671801508196
"caldisericum_exile",65,"train",50.8060783893914
"caldisphaera_lagunensis",75,"test",71.8222984202123
"calditerrivibrio_nitroreducens",55,"test",57.1353147296375
"caldithrix_abyssi",60,"train",48.1669356993122
"caldivirga_maquilingensis",83,"train",80.1684157057381
"caloramator_mitchellensis",50,"train",51.8171305932192
"caminibacter_mediatlanticus",55,"train",66.9662289551356
"campylobacter_curvus",37,"train",32.8953892643382
"campylobacter_fetus",37,"train",28.8464679189684
"campylobacter_hyointestinalis",37,"test",30.0205734993918
"campylobacter_insulaenigrae",35,"train",35.1488311194087
"campylobacter_lari",37,"test",35.3945818690501
"campylobacter_mucosalis",37,"train",30.0743680314073
"campylobacter_showae",37,"test",32.1861713617212
"campylobacter_upsaliensis",37,"train",35.6372887217592
"campylobacter_ureolyticus",37,"train",31.9766097003559
"campylobacter_volucris",37,"test",34.6623020296011
"capnocytophaga_canimorsus",37,"test",36.1331730005313
"capnocytophaga_gingivalis",37,"train",40.2325199166294
"capnocytophaga_granulosa",37,"train",40.8038269552122
"capnocytophaga_ochracea",37,"train",38.9187882731841
"capnocytophaga_sputigena",37,"train",40.0238443800868
"carboxydothermus_hydrogenoformans",71.5,"test",56.8281062176559
"cardiobacterium_hominis",37,"train",35.9954594015443
"cardiobacterium_valvarum",37,"test",36.5289909442623
"carnobacterium_divergens",30,"train",28.6499908839568
"carnobacterium_inhibens",30,"train",31.5384235234637
"carnobacterium_maltaromaticum",30,"train",28.5442560789785
"caryophanon_latum",28.6,"train",36.2979109422845
"caryophanon_tenue",30,"train",37.2323047507726
"castellaniella_defragrans",30,"train",31.0792961345042
"catellicoccus_marimammalium",37,"train",41.1044863990774
"catenovulum_agarivorans",28,"train",30.5404957170642
"catenulispora_acidiphila",28,"test",23.44662201973
"caulobacter_vibrioides",29.5,"train",28.0188473173102
"cedecea_davisae",30,"train",28.9045564225297
"cedecea_neteri",37,"train",29.9001826882736
"cellulomonas_bogoriensis",28,"train",39.5405121720322
"cellulomonas_cellasea",30,"train",NA
"cellulomonas_fimi",30,"train",40.5154151538506
"cellulomonas_flavigena",30,"train",41.5506821435264
"cellulophaga_algicola",15,"train",25.3043992302243
"cellulophaga_lytica",25,"train",28.0380221601205
"cellulosimicrobium_cellulans",28.4285714285714,"test",37.5789361249501
"cellulosimicrobium_funkei",28,"test",37.3753352139082
"cellvibrio_japonicus",37,"train",33.0938994384675
"centipeda_periodontii",37,"test",31.3094148779177
"chelatococcus_daeguensis",37,"train",32.456798523626
"chelatococcus_sambhunathii",37,"train",32.6200329820274
"chelonobacter_oris",37,"train",32.2462634330975
"chitinophaga_pinensis",23.3333333333333,"train",25.3438672079106
"chlamydia_trachomatis",37,"test",27.3012461119293
"chlamydophila_pneumoniae",37,"test",26.8245636147881
"chlorobaculum_parvum",25,"train",30.9204424541834
"chlorobium_limicola",25,"train",29.583285409878
"chlorobium_luteolum",25,"train",26.6023313720301
"chlorobium_phaeovibrioides",25,"train",25.928253036224
"chlorobium_tepidum",48,"train",32.2354025483161
"chondromyces_crocatus",30,"train",21.8371578853788
"chromobacterium_violaceum",26,"train",29.8375576319521
"chromohalobacter_salexigens",33.5,"train",31.8716256170757
"chryseobacterium_antarcticum",10,"test",26.0026178798167
"chryseobacterium_gleum",30,"train",26.4569303772615
"chryseobacterium_indologenes",30,"train",27.0419866953226
"chryseobacterium_jeonii",10,"test",25.2680729009466
"chryseobacterium_luteum",28,"test",27.0506830932108
"chryseobacterium_piperi",28,"train",27.2787249637777
"chryseobacterium_solincola",28,"train",30.25811079914
"citrobacter_braakii",30,"train",29.8777737349698
"citrobacter_farmeri",30,"train",29.2389775014691
"citrobacter_freundii",33.8,"train",29.3406519338526
"citrobacter_koseri",31.75,"train",30.585772990915
"citrobacter_rodentium",37,"test",31.1298360124678
"citrobacter_youngae",30,"train",29.4123029839499
"cloacibacterium_normanense",35,"train",28.5479230051069
"clostridium_acetobutylicum",36,"train",35.5252163803319
"clostridium_autoethanogenum",37,"train",34.9046888816019
"clostridium_baratii",37,"train",37.4251895669781
"clostridium_beijerinckii",36.5555555555556,"train",30.0791611414169
"clostridium_butyricum",33.5,"train",32.8831207471049
"clostridium_cellulovorans",37,"train",31.5269681253792
"clostridium_cylindrosporum",37,"train",39.1771650160724
"clostridium_haemolyticum",37,"train",38.207810965159
"clostridium_homopropionicum",35,"train",35.1686697524646
"clostridium_intestinale",33.5,"train",34.5335669760037
"clostridium_kluyveri",37,"train",38.5288727319756
"clostridium_ljungdahlii",37,"train",35.580150601464
"clostridium_magnum",30,"train",30.6291547829923
"clostridium_paraputrificum",37,"train",36.4401822092642
"clostridium_pasteurianum",35.25,"train",34.4466939943318
"clostridium_perfringens",37,"train",37.409042087243
"clostridium_ragsdalei",35,"train",34.6131509064282
"clostridium_saccharobutylicum",35,"train",30.3012315879658
"clostridium_saccharoperbutylacetonicum",32.5,"train",30.0492881423963
"clostridium_sporogenes",37,"train",39.9102709721427
"clostridium_sulfidigenes",35,"train",36.3310622460008
"clostridium_tyrobutyricum",37,"train",37.7784487733897
"collimonas_arenae",28,"test",25.8781028498522
"collinsella_aerofaciens",37,"train",40.3659163427078
"collinsella_tanakaei",37,"train",39.0934116598646
"comamonas_aquatica",30,"train",30.1101633523312
"comamonas_testosteroni",29.8666666666667,"train",25.288578822726
"comamonas_thiooxydans",30,"test",26.1521508464526
"conexibacter_woesei",28,"train",31.1364592535674
"congregibacter_litoralis",28,"train",29.5970787376575
"coprothermobacter_proteolyticus",60,"test",55.8614910417273
"coraliomargarita_akajimensis",25,"train",27.93986556533
"corallococcus_coralloides",28.0076923076923,"train",28.9665834487193
"corynebacterium_accolens",37,"train",31.2944679870346
"corynebacterium_argentoratense",28,"train",33.0426136818568
"corynebacterium_atypicum",37,"train",34.9840377959073
"corynebacterium_aurimucosum",37,"train",31.5375534859239
"corynebacterium_callunae",30,"train",27.5021467326423
"corynebacterium_camporealensis",37,"train",34.5279364813177
"corynebacterium_casei",30,"train",29.2491985806013
"corynebacterium_durum",37,"train",33.9200659087999
"corynebacterium_genitalium",37,"train",34.2621421733525
"corynebacterium_glucuronolyticum",37,"train",34.1878399841421
"corynebacterium_glutamicum",30.8571428571429,"train",27.8497684170633
"corynebacterium_humireducens",28,"train",35.0717926070228
"corynebacterium_imitans",37,"test",35.434835172603
"corynebacterium_jeikeium",37,"train",32.2328484988175
"corynebacterium_kroppenstedtii",37,"train",29.0962143164787
"corynebacterium_kutscheri",37,"test",31.4159018589857
"corynebacterium_lipophiloflavum",37,"test",34.8981938544492
"corynebacterium_maris",25,"train",34.2406284979275
"corynebacterium_matruchotii",37,"train",35.2697570745888
"corynebacterium_minutissimum",37,"train",32.2324174271522
"corynebacterium_mustelae",37,"train",32.0990681521245
"corynebacterium_pseudotuberculosis",37,"train",30.4363329563186
"corynebacterium_riegelii",37,"test",35.8890622147751
"corynebacterium_simulans",37,"train",32.1244853027094
"corynebacterium_singulare",37,"test",31.1341075022317
"corynebacterium_stationis",30,"train",30.4744012989161
"corynebacterium_striatum",37,"train",31.3122752019455
"corynebacterium_terpenotabidum",37,"train",29.5588640511413
"corynebacterium_tuscaniense",37,"train",34.8142900581677
"corynebacterium_ulcerans",37,"train",30.3034743143289
"corynebacterium_urealyticum",37,"train",31.1886557972473
"corynebacterium_ureicelerivorans",37,"train",36.2062326801181
"corynebacterium_vitaeruminis",30,"train",31.2218016333042
"corynebacterium_xerosis",34.3333333333333,"train",29.1454008898918
"cronobacter_dublinensis",37,"train",31.9300020481459
"cronobacter_malonaticus",37,"train",32.958203165358
"cronobacter_muytjensii",28,"train",32.5617751002686
"cronobacter_sakazakii",30,"train",33.2587806891629
"cryobacterium_arcticum",20,"test",27.0337650270698
"cryptobacterium_curtum",37,"train",35.1807126249655
"cupriavidus_basilensis",28.6666666666667,"train",25.0365090020054
"cupriavidus_gilardii",37,"train",32.0104769821692
"cupriavidus_necator",29.45,"train",27.9451845843228
"cupriavidus_taiwanensis",28,"test",31.187416234396
"curtobacterium_citreum",30,"train",33.9478068473166
"curtobacterium_flaccumfaciens",29.3333333333333,"train",32.0836695414813
"curtobacterium_luteum",29,"test",32.831747453552
"cyclobacterium_marinum",22,"train",29.2018111929426
"cystobacter_fuscus",28.0714285714286,"train",27.0022349389428
"cytophaga_hutchinsonii",28,"test",29.0711026851735
"dechloromonas_denitrificans",30,"train",30.268547027644
"deferribacter_desulfuricans",62,"test",63.7756622068839
"defluviitoga_tunisiensis",55,"test",53.9056959879179
"dehalobacter_restrictus",30,"train",38.5324595405659
"deinococcus_deserti",28,"train",32.5664333559725
"deinococcus_geothermalis",45,"train",40.2000780006049
"deinococcus_maricopensis",28,"train",33.5576376650965
"deinococcus_peraridilitoris",28,"train",34.4700591525866
"deinococcus_proteolyticus",30,"train",33.72365005884
"deinococcus_radiodurans",30.7,"train",34.5838578752133
"delftia_acidovorans",29.7777777777778,"train",24.6833173387427
"denitrobacterium_detoxificans",37,"train",38.5278369249271
"dermabacter_hominis",37,"train",30.5901146201384
"desulfarculus_baarsii",37,"test",34.3764520039423
"desulfitobacterium_metallireducens",30,"train",33.4591134326704
"desulfobacca_acetoxidans",37,"train",43.007485011005
